name,scientific_name,family,region,benefits,side_effects,toxicity,usage,english_name
Patha,Cissampelos pareira,Menispermaceae,,Helps reduce fever|Helps manage diarrhea|Promotes wound healing|Supports intestinal parasite management|Supports detoxification from poisons|Improves nutrient absorption and helps manage diarrhea,,low,internal,Velvetleaf
Patola,Trichosanthes dioica,Cucurbitaceae,,Helps reduce fever|Supports skin health in chronic conditions|Cools and soothes heat-related bleeding|Supports liver health|Quenches excessive thirst|Purifies the blood,,low,internal,Pointed Gourd
Pattanga,Biancaea sappan,Fabaceae,,Cools and soothes heat-related bleeding|Supports menstrual health (heavy bleeding)|Promotes wound healing|Relieves burning sensation|Supports oral and throat health|Helps control bleeding,,low,internal,Sappanwood
Pilu,Salvadora persica,Salvadoraceae,,Supports abdominal health|Helps manage hemorrhoids|Relieves bloating|Supports oral and throat health|Stimulates digestion and appetite|Reduces swelling,,low,internal,Toothbrush Tree
Pippali,Piper longum,Piperaceae,,Eases cough|Eases breathing and respiratory discomfort|Supports spleen health|Supports abdominal health|Helps manage hemorrhoids|Rejuvenating; promotes vitality and immunity|Stimulates digestion and appetite|Relieves cough|Supports reproductive vitality,,low,internal,Long Pepper
Plaksha,Ficus infectoria,Moraceae,,Cools and soothes heat-related bleeding|Promotes wound healing|Relieves burning sensation|Supports vaginal health|Supports skin health in spreading rashes|Helps control bleeding,,low,internal,White Fig
Prapunnada,Senna tora,Fabaceae,,Supports skin health in fungal conditions|Supports skin health in chronic conditions|Relieves itching|Supports intestinal parasite management|Antimicrobial and antiparasitic action,,low,internal,Sickle Senna
Prasarini,Paederia foetida,Rubiaceae,,Soothes vata-related disorders|Eases sciatic pain|Supports joint health|Supports recovery in paralysis (adjunct care)|Supports joints in inflammatory conditions|Soothes excess vata|Supports tissue repair and healing,,low,internal,Stinkvine
Prativisha,Aconitum palmatum,Ranunculaceae,,Helps manage diarrhea|Supports healthy digestion and nutrient absorption|Helps reduce fever|Supports intestinal parasite management|Traditionally used in Ayurvedic management of toxins|Stimulates digestion and appetite,,low,internal,Aconite Alternative
Prishniparni,Uraria picta,Fabaceae,,Helps reduce fever|Quenches excessive thirst|Helps manage diarrhea|Soothes vata-related disorders|Supports bone fracture healing|Builds strength and stamina|Supports reproductive vitality|Supports tissue repair and healing,,low,internal,Pointed-leaved Uraria
Priyala,Buchanania lanzan,Anacardiaceae,,Builds strength|Supports male reproductive health|Cools and soothes heat-related bleeding|Quenches excessive thirst|Supports chest and lung recovery|Supports reproductive vitality|Nourishing and weight-building,,low,internal,Almondette
Priyangu,Callicarpa macrophylla,Lamiaceae,,Cools and soothes heat-related bleeding|Relieves burning sensation|Helps reduce fever|Promotes wound healing|Eases intestinal pain|Promotes healthy skin complexion,,low,internal,Beautyberry
Puga,Areca catechu,Arecaceae,,Improves taste and appetite|Dries up excess moisture|Supports oral and throat health|Supports vaginal health|Supports intestinal parasite management|Stimulates digestion and appetite,,low,internal,Areca Nut
Punarnava,Boerhavia diffusa,Nyctaginaceae,,Reduces swelling|Supports healthy blood levels|Supports heart health|Supports abdominal health|Promotes healthy urine flow|Rejuvenating; promotes vitality and immunity,,low,internal,Spreading Hogweed
Pushkarmool,Inula racemosa,Asteraceae,,Eases breathing and respiratory discomfort|Eases cough|Supports heart health|Eases flank pain|Relieves hiccups|Relieves cough|Eases breathing,,low,internal,Indian Elecampane
Putranjivaka,Putranjiva roxburghii,Putranjivaceae,,Supports fertility (traditional use)|Supports a healthy pregnancy|Restores vitality and immunity|Supports reproductive vitality,,low,internal,Child Life Tree
Rajamasha,Vigna unguiculata,Fabaceae,,Supports breast milk production|Supports healthy weight management|Soothes excess vata,,low,internal,Cowpea
Rajika,Brassica juncea,Brassicaceae,,Supports spleen health|Supports abdominal health|Supports intestinal parasite management|Relieves itching|Supports skin health in chronic conditions|Reduces swelling|Relieves pain,,low,internal,Indian Mustard
Rakta Chandana,Pterocarpus santalinus,Fabaceae,,Cools and soothes heat-related bleeding|Quenches excessive thirst|Helps reduce fever|Supports skin health in spreading rashes|Promotes wound healing|Purifies and tones the blood|Relieves burning sensation,,low,internal,Red Sandalwood
Raktamoola,Plumbago indica,Plumbaginaceae,,Stimulates weak digestion|Helps manage hemorrhoids|Supports healthy digestion and nutrient absorption|Supports abdominal health|Supports intestinal parasite management|Stimulates digestion and appetite|Aids digestion of food and toxins|Helps reduce excess fat,,low,internal,Indian Leadwort
Rasna,Pluchea lanceolata,Asteraceae,,Supports joints in inflammatory conditions|Supports joint health|Eases sciatic pain|Soothes vata-related disorders|Reduces swelling|Soothes excess vata,,low,internal,Indian Fleabane
Renuka,Vitex agnus-castus,Lamiaceae,,Supports menstrual health|Soothes vata-related disorders|Stimulates weak digestion|Relieves headache|Stimulates digestion and appetite|Soothes excess vata,,low,internal,Chaste Tree
Riddhi,Habenaria intermedia,Orchidaceae,,Supports chest and lung recovery|Cools and soothes heat-related bleeding|Builds strength|Soothes vata-related disorders|Rejuvenating; promotes vitality and immunity|Nourishing and weight-building,,low,internal,Riddhi Orchid
Rishabhaka,Malaxis muscifera,Orchidaceae,,Supports chest and lung recovery|Cools and soothes heat-related bleeding|Relieves burning sensation|Eases breathing and respiratory discomfort|Rejuvenating; promotes vitality and immunity|Supports reproductive vitality|Nourishing and weight-building,,low,internal,Rishabhaka Orchid
Rohisha,Cymbopogon martinii,Poaceae,,Supports joints in inflammatory conditions|Helps reduce fever|Relieves pain|Relieves itching,,low,internal,Palmarosa Grass
Rohitaka,Tecomella undulata,Bignoniaceae,,Supports spleen health|Supports liver and spleen health|Supports abdominal health|Purifies the blood|Stimulates digestion and appetite|Aids digestion of food and toxins,,low,internal,Desert Teak
Rudraksha,Elaeocarpus ganitrus,Elaeocarpaceae,,Supports healthy blood pressure|Supports mental calm|Supports nervous system health|Supports heart health|Relieves headache|Supports memory and intellect,,low,internal,Utrasum Bead Tree
Sadapushpi,Catharanthus roseus,Apocynaceae,,Supports urinary health (including diabetes care)|Supports blood health|Supports management of growths (traditional use; not a substitute for medical care)|Supports healthy blood sugar|Supports management of growths (traditional use),,low,internal,Madagascar Periwinkle
Sahachara,Barleria prionitis,Acanthaceae,,Soothes vata-related disorders|Eases joint pain|Supports skin health in chronic conditions|Supports hair growth|Relieves pain|Soothes excess vata,,low,internal,Porcupine Flower
Saireyaka,Barleria prionitis,Acanthaceae,,Supports skin health in chronic conditions|Reduces swelling|Soothes vata-related disorders|Supports dental health and eases toothache|Promotes hair health,,low,internal,Yellow Barleria
Saptala,Senegalia rugata,Fabaceae,,Promotes hair health|Relieves itching|Supports skin health in chronic conditions|Relieves constipation|Supports intestinal parasite management,,low,internal,Soap Pod
Saptaparna,Alstonia scholaris,Apocynaceae,,Helps reduce fever|Supports skin health in chronic conditions|Supports intestinal parasite management|Promotes wound healing|Supports abdominal health|Antimicrobial and antiparasitic action,,low,internal,Devil's Tree
Sariva,Hemidesmus indicus,Apocynaceae,,Relieves burning sensation|Cools and soothes heat-related bleeding|Quenches excessive thirst|Supports skin health in chronic conditions|Supports urinary health (including diabetes care)|Purifies the blood|Promotes healthy skin complexion,,low,internal,Indian Sarsaparilla
Sarja,Vateria indica,Dipterocarpaceae,,Promotes wound healing|Supports skin health in chronic conditions|Relieves itching|Traditionally used for mental-emotional balance|Traditionally used in Ayurvedic management of toxins|Supports detoxification from poisons,,low,internal,White Dammar
Sarpagandha,Rauvolfia serpentina,Apocynaceae,,Supports mental calm|Promotes sleep|Supports nervous system health|Relieves dizziness|Supports healthy blood pressure,,low,internal,Indian Snakeroot
Sarpaksi,Ophiorrhiza mungos,Rubiaceae,,Traditionally used in Ayurvedic management of venom exposure|Helps reduce fever|Supports intestinal parasite management|Supports skin health in chronic conditions|Supports detoxification from poisons,,low,internal,Mongoose Plant
Satina,Pisum sativum,Fabaceae,,Purifies the blood|Relieves burning sensation|Builds strength and stamina,,low,internal,Pea
Satyanashi,Argemone mexicana,Papaveraceae,,Supports skin health in chronic conditions|Relieves itching|Promotes wound healing|Relieves constipation|Purifies the blood|Purgative (professional use only),,low,internal,Mexican Prickly Poppy
Shaka,Tectona grandis,Lamiaceae,,Cools and soothes heat-related bleeding|Supports urinary health (including diabetes care)|Supports skin health in chronic conditions|Supports healthy weight management|Relieves burning sensation|Improves nutrient absorption and helps manage diarrhea,,low,internal,Teak Tree
Shallaki,Boswellia serrata,Burseraceae,,Supports joint health|Supports joints in inflammatory conditions|Promotes wound healing|Helps manage diarrhea|Cools and soothes heat-related bleeding|Reduces swelling|Improves nutrient absorption and helps manage diarrhea|Relieves pain,,low,internal,Indian Olibanum
Shalparni,Desmodium gangeticum,Fabaceae,,Helps reduce fever|Eases breathing and respiratory discomfort|Helps manage diarrhea|Supports recovery in debility|Helps manage vomiting|Supports healthy elimination of gas,,low,internal,Sal-leaved Desmodium
Shana,Crotalaria juncea,Fabaceae,,Cools and soothes heat-related bleeding|Supports menstrual health (heavy bleeding)|Supports uterine health|Relieves body ache|Helps control bleeding,,low,internal,Sunn Hemp
Shankhini,Canscora decussata,Gentianaceae,,Stimulates weak digestion|Relieves constipation|Supports mental calm|Supports nervous system health|Supports mental calm and wellbeing|Supports memory and intellect|Purgative (professional use only),,low,internal,Canscora
Shankhpushpi,Convolvulus pluricaulis,Convolvulaceae,,Supports mental calm|Supports nervous system health|Supports memory|Promotes sleep|Relieves dizziness|Supports memory and intellect|Rejuvenating; promotes vitality and immunity,,low,internal,Shankhpushpi
Shara,Saccharum munja,Poaceae,,Quenches excessive thirst|Relieves burning sensation|Cools and soothes heat-related bleeding|Promotes healthy urine flow|Cools the blood,,low,internal,Munja Grass
Sharapunkha,Tephrosia purpurea,Fabaceae,,Supports spleen health|Supports liver and spleen health|Supports abdominal health|Promotes wound healing|Supports skin health in chronic conditions|Stimulates liver function|Purifies the blood,,low,internal,Purple Tephrosia
Shati,Hedychium spicatum,Zingiberaceae,,Eases breathing and respiratory discomfort|Eases cough|Helps reduce fever|Promotes wound healing|Improves taste and appetite|Eases breathing|Aids digestion of food and toxins,,low,internal,Spiked Ginger Lily
Shigru,Moringa oleifera,Moringaceae,,Reduces swelling|Supports intestinal parasite management|Supports healthy weight management|Supports resolution of abscesses|Supports spleen health|Antimicrobial and antiparasitic action|Reduces excess fat,,low,internal,Drumstick Tree
Shigru Patra,Moringa oleifera,Moringaceae,,Supports intestinal parasite management|Reduces swelling|Supports healthy weight management|Supports eye health|Eases shoulder pain and stiffness|Builds strength and stamina|Aids digestion of food and toxins,,low,internal,Drumstick Tree Leaves
Shilajit,Asphaltum punjabianum,N/A,,Supports urinary health (including diabetes care)|Supports recovery in debility|Supports male reproductive health|Supports healthy weight management|Builds strength and stamina,,low,internal,Mineral Pitch
Shirisha,Albizia lebbeck,Fabaceae,,Traditionally used in Ayurvedic management of toxins|Eases breathing and respiratory discomfort|Eases cough|Supports skin health in chronic conditions|Supports skin health in spreading rashes|Supports detoxification from poisons|Eases breathing,,low,internal,Lebbeck Tree
Shrigataka,Trapa natans,Lythraceae,,Cools and soothes heat-related bleeding|Supports menstrual health (heavy bleeding)|Supports a healthy pregnancy|Relieves burning sensation|Builds strength|Supports reproductive vitality|Improves nutrient absorption and helps manage diarrhea|Cools the blood,,low,internal,Water Chestnut
Shunthi,Zingiber officinale,Zingiberaceae,,Supports joints in inflammatory conditions|Aids digestion|Supports healthy digestion and nutrient absorption|Eases cough|Eases breathing and respiratory discomfort|Stimulates digestion and appetite|Aids digestion of food and toxins|Rejuvenating; promotes vitality and immunity|Supports heart health,,low,internal,Dry Ginger
Shvet Musli,Chlorophytum borivilianum,Asparagaceae,,Supports male reproductive health|Builds strength|Restores vitality and immunity|Supports reproductive vitality|Builds strength and stamina|Nourishing and weight-building,,low,internal,White Musli
Shyonaka,Oroxylum indicum,Bignoniaceae,,Helps manage diarrhea|Helps manage dysentery|Supports joints in inflammatory conditions|Reduces swelling|Stimulates weak digestion|Improves nutrient absorption and helps manage diarrhea|Stimulates digestion and appetite,,low,internal,Broken Bones Plant
Simsapa,Dalbergia sissoo,Fabaceae,,Supports skin health in chronic conditions|Supports menstrual health (heavy bleeding)|Supports healthy weight management|Supports intestinal parasite management|Helps reduce fever|Reduces excess fat,,low,internal,Indian Rosewood
Snuhi,Euphorbia neriifolia,Euphorbiaceae,,Supports abdominal health|Supports skin health in chronic conditions|Helps manage hemorrhoids|Supports spleen health|Purgative (professional use only),,low,internal,Indian Spurge Tree
Somavalli,Sarcostemma acidum,Apocynaceae,,Supports recovery in debility|Quenches excessive thirst|Cools and soothes heat-related bleeding|Builds strength|Rejuvenating; promotes vitality and immunity|Builds strength and stamina,,low,internal,Leafless East Indian Vine
Sthuneyaka,Taxus baccata,Taxaceae,,Eases cough|Eases breathing and respiratory discomfort|Relieves hiccups|Soothes vata-related disorders|Supports intestinal parasite management|Relieves cough|Eases breathing,,low,internal,Common Yew
Surana,Amorphophallus paeoniifolius,Araceae,,Helps manage hemorrhoids|Supports spleen health|Supports abdominal health|Eases breathing and respiratory discomfort|Eases cough|Relieves hemorrhoids|Stimulates digestion and appetite,,low,internal,Elephant Foot Yam
Suranjana,Colchicum luteum,Colchicaceae,,Supports joints in gout-like conditions|Supports joints in inflammatory conditions|Eases joint pain|Supports liver and spleen health|Reduces swelling|Soothes excess vata|Relieves pain,,low,internal,Golden Colchicum
Suryavarta,Cleome gynandra,Cleomaceae,,Eases earache|Relieves headache|Supports abdominal health|Supports intestinal parasite management|Promotes wound healing|Relieves pain|Stimulates digestion and appetite,,low,internal,Spiderwisp
Swarnapatri,Cassia angustifolia,Fabaceae,,Relieves constipation|Supports abdominal health|Supports intestinal parasite management|Purgative (professional use only),,low,internal,Senna
Tagar,Valeriana wallichii,Caprifoliaceae,,Supports mental calm|Supports nervous system health|Promotes sleep|Supports memory and intellect|Rejuvenating; promotes vitality and immunity,,low,internal,Indian Valerian
Tagetes,Tagetes erecta,Asteraceae,,Cools and soothes heat-related bleeding|Promotes wound healing|Relieves itching|Supports intestinal parasite management|Eases earache|Purifies the blood|Supports skin health in chronic conditions,,low,internal,Marigold
Tala,Borassus flabellifer,Arecaceae,,Supports recovery in debility|Cools and soothes heat-related bleeding|Quenches excessive thirst|Relieves burning sensation|Builds strength|Builds strength and stamina|Nourishing and weight-building,,low,internal,Palmyra Palm
Talamuli,Curculigo orchioides,Hypoxidaceae,,Supports male reproductive health|Supports urinary health (including diabetes care)|Builds strength|Supports recovery in debility|Supports vaginal health|Supports reproductive vitality|Builds strength and stamina|Rejuvenating; promotes vitality and immunity,,low,internal,Golden Eye Grass
Talisapatra,Abies webbiana,Pinaceae,,Eases cough|Eases breathing and respiratory discomfort|Improves taste and appetite|Supports abdominal health|Helps manage vomiting|Relieves cough|Eases breathing,,low,internal,Himalayan Silver Fir
Tamalaki,Phyllanthus niruri,Euphorbiaceae,,Supports liver health|Supports healthy blood levels|Supports liver and spleen health|Supports urinary health (including diabetes care)|Cools and soothes heat-related bleeding|Stimulates liver function|Aids digestion of food and toxins,,low,internal,Stonebreaker
Tamalpatra,Cinnamomum tamala,Lauraceae,,Improves taste and appetite|Relieves nausea|Relieves nasal congestion and cold|Helps manage hemorrhoids|Stimulates digestion and appetite|Antimicrobial and antiparasitic action,,low,internal,Indian Bay Leaf
Tanduliyaka,Amaranthus spinosus,Amaranthaceae,,Cools and soothes heat-related bleeding|Traditionally used in Ayurvedic management of toxins|Supports menstrual health (heavy bleeding)|Relieves burning sensation|Quenches excessive thirst|Supports detoxification from poisons|Cools the blood,,low,internal,Spiny Amaranth
Taruni,Rosa centifolia,Rosaceae,,Relieves burning sensation|Supports heart health|Quenches excessive thirst|Supports oral and throat health|Supports skin health in chronic conditions|Promotes healthy skin complexion|Supports eye health,,low,internal,Cabbage Rose
Tila,Sesamum indicum,Pedaliaceae,,Soothes vata-related disorders|Supports recovery in debility|Builds strength|Supports hair growth|Promotes wound healing|Builds strength and stamina|Promotes hair health|Supports reproductive vitality,,low,internal,Sesame
Tinduka,Diospyros peregrina,Ebenaceae,,Helps manage diarrhea|Helps manage dysentery|Supports urinary health (including diabetes care)|Promotes wound healing|Cools and soothes heat-related bleeding|Improves nutrient absorption and helps manage diarrhea|Helps control bleeding,,low,internal,Indian Persimmon
Tintidika,Tamarindus indica,Fabaceae,,Stimulates weak digestion|Improves taste and appetite|Quenches excessive thirst|Relieves fatigue|Stimulates digestion and appetite|Aids digestion of food and toxins,,low,internal,Tamarind
Trapusha,Cucumis sativus,Cucurbitaceae,,Relieves burning sensation|Quenches excessive thirst|Cools and soothes heat-related bleeding|Promotes healthy urine flow,,low,internal,Cucumber
Trivrit,Operculina turpethum,Convolvulaceae,,Relieves constipation|Helps reduce fever|Reduces swelling|Supports healthy blood levels|Supports abdominal health|Purgative (professional use only),,low,internal,Indian Jalap
Tumburu,Zanthoxylum armatum,Rutaceae,,Supports dental health and eases toothache|Supports oral and throat health|Stimulates weak digestion|Supports intestinal parasite management|Eases abdominal pain|Stimulates digestion and appetite|Antimicrobial and antiparasitic action|Relieves pain,,low,internal,Winged Prickly Ash
Udumbara,Ficus racemosa,Moraceae,,Cools and soothes heat-related bleeding|Supports urinary health (including diabetes care)|Promotes wound healing|Helps manage diarrhea|Relieves burning sensation|Helps control bleeding|Supports healthy blood sugar,,low,internal,Cluster Fig
Upodika,Basella alba,Basellaceae,,Relieves constipation|Helps manage hemorrhoids|Cools and soothes heat-related bleeding|Supports labor|Builds strength|Builds strength and stamina|Nourishing and weight-building,,low,internal,Malabar Spinach
Ushira,Chrysopogon zizanioides,Poaceae,,Relieves burning sensation|Quenches excessive thirst|Helps reduce fever|Traditionally used in Ayurvedic management of toxins,,low,internal,Vetiver
Utingana,Blepharis edulis,Acanthaceae,,Supports male reproductive health|Supports reproductive vitality|Builds strength|Builds strength and stamina,,low,internal,Utangan Seeds
Utpala,Nymphaea nouchali,Nymphaeaceae,,Cools and soothes heat-related bleeding|Relieves burning sensation|Quenches excessive thirst|Supports heart health|Relieves dizziness|Rejuvenating; promotes vitality and immunity,,low,internal,Blue Water Lily
Vacha,Acorus calamus,Acoraceae,,Supports mental calm|Supports nervous system health|Supports memory|Eases cough|Soothes vata-related disorders|Supports memory and intellect|Restores alertness and focus|Antimicrobial and antiparasitic action,Contains beta-asarone; large doses not advised,medium,internal,Sweet Flag
Vamsha,Bambusa bambos,Poaceae,,Eases cough|Eases breathing and respiratory discomfort|Cools and soothes heat-related bleeding|Quenches excessive thirst|Supports recovery in debility|Builds strength and stamina|Supports reproductive vitality|Relieves cough,,low,internal,Thorny Bamboo
Vanapsa,Viola odorata,Violaceae,,Eases cough|Eases breathing and respiratory discomfort|Relieves nasal congestion and cold|Helps reduce fever|Relieves headache|Relieves cough,,low,internal,Sweet Violet
Varahikanda,Dioscorea bulbifera,Dioscoreaceae,,Builds strength|Supports male reproductive health|Supports skin health in chronic conditions|Supports urinary health (including diabetes care)|Promotes wound healing|Rejuvenating; promotes vitality and immunity|Supports reproductive vitality|Builds strength and stamina,,low,internal,Air Potato
Varshabhu,Trianthema portulacastrum,Aizoaceae,,Reduces swelling|Supports abdominal health|Supports liver health|Supports spleen health|Promotes healthy urine flow,,low,internal,Desert Horse Purslane
Vartaku,Solanum melongena,Solanaceae,,Stimulates weak digestion|Improves taste and appetite|Supports heart health|Soothes vata-related disorders|Stimulates digestion and appetite,,low,internal,Brinjal
Varuna,Crateva nurvala,Capparaceae,,Supports resolution of abscesses|Soothes vata-related disorders|Supports abdominal health|Promotes healthy urine flow|Helps dissolve urinary stones|Stimulates digestion and appetite,,low,internal,Three-leaved Caper
Vasaka,Adhatoda vasica,Acanthaceae,,Eases cough|Eases breathing and respiratory discomfort|Cools and soothes heat-related bleeding|Supports recovery in debility|Helps reduce fever|Eases breathing|Relieves cough,,low,internal,Malabar Nut
Vathada,Prunus dulcis,Rosaceae,,Builds strength|Soothes vata-related disorders|Restores vitality and immunity|Supports recovery in debility|Builds strength and stamina|Supports memory and intellect|Supports reproductive vitality,,low,internal,Almond
Vatsanabha,Aconitum ferox,Ranunculaceae,,Helps reduce fever|Supports joints in inflammatory conditions|Supports healthy digestion and nutrient absorption|Eases breathing and respiratory discomfort|Soothes vata-related disorders|Relieves pain,Extremely toxic; only used in processed form under strict professional supervision,high,external,Indian Aconite
Vetasa,Salix caprea,Salicaceae,,Reduces swelling|Relieves burning sensation|Cools and soothes heat-related bleeding|Promotes wound healing,,low,internal,Goat Willow
Vidanga,Embelia ribes,Primulaceae,,Supports intestinal parasite management|Supports abdominal health|Stimulates weak digestion|Supports skin health in chronic conditions|Supports urinary health (including diabetes care)|Antimicrobial and antiparasitic action|Helps reduce excess fat|Stimulates digestion and appetite,,low,internal,False Black Pepper
Vidarikand,Pueraria tuberosa,Fabaceae,,Supports recovery in debility|Cools and soothes heat-related bleeding|Builds strength|Supports male reproductive health|Builds strength and stamina|Rejuvenating; promotes vitality and immunity|Supports reproductive vitality,,low,internal,Indian Kudzu
Visha Tinduka,Strychnos nux-vomica,Loganiaceae,,Soothes vata-related disorders|Eases sciatic pain|Supports joints in inflammatory conditions|Stimulates weak digestion|Supports male reproductive health|Soothes excess vata|Stimulates digestion and appetite,,low,internal,Nux Vomica
Vriddhadaru,Argyreia nervosa,Convolvulaceae,,Soothes vata-related disorders|Reduces swelling|Supports urinary health (including diabetes care)|Rejuvenating; promotes vitality and immunity|Supports reproductive vitality|Supports memory and intellect,,low,internal,Elephant Creeper
Vriddhi,Habenaria edgeworthii,Orchidaceae,,Supports recovery in debility|Cools and soothes heat-related bleeding|Quenches excessive thirst|Builds strength|Eases breathing and respiratory discomfort|Rejuvenating; promotes vitality and immunity|Nourishing and weight-building,,low,internal,Vriddhi Orchid
Vrihi,Oryza sativa,Poaceae,,Builds strength|Quenches excessive thirst|Cools and soothes heat-related bleeding|Nourishing and weight-building|Builds strength and stamina|Promotes healthy urine flow,,low,internal,Rice
Vrikshamla,Garcinia indica,Clusiaceae,,Aids digestion|Helps manage diarrhea|Supports healthy digestion and nutrient absorption|Quenches excessive thirst|Helps manage hemorrhoids|Helps reduce excess fat|Stimulates digestion and appetite|Reduces excess fat,,low,internal,Kokum
Vyaghranakhi,Capparis zeylanica,Capparaceae,,Reduces swelling|Supports thyroid health (traditional goiter care)|Helps manage hemorrhoids|Promotes wound healing|Stimulates weak digestion|Soothes excess vata,,low,internal,Ceylon Caper
Yastimadhu,Glycyrrhiza glabra,Fabaceae,,Eases cough|Supports recovery in debility|Supports voice and vocal clarity|Promotes wound healing|Cools and soothes heat-related bleeding|Supports throat and voice|Supports detoxification from poisons,,low,internal,Licorice
Yava,Hordeum vulgare,Poaceae,,Supports urinary health (including diabetes care)|Supports healthy weight management|Soothes the throat|Eases breathing and respiratory discomfort|Relieves nasal congestion and cold|Helps reduce excess fat|Promotes healthy urine flow,,low,internal,Barley
Yavani,Trachyspermum ammi,Apiaceae,,Aids digestion|Relieves flatulence and bloating|Relieves pain|Supports abdominal health|Supports intestinal parasite management|Stimulates digestion and appetite|Aids digestion of food and toxins|Supports healthy elimination of gas,,low,internal,Carom Seeds
Yavasa,Alhagi maurorum,Fabaceae,,Cools and soothes heat-related bleeding|Quenches excessive thirst|Relieves burning sensation|Eases cough|Eases breathing and respiratory discomfort|Helps control bleeding,,low,internal,Camel Thorn
Yuthika,Jasminum auriculatum,Oleaceae,,Supports oral health (mouth ulcers)|Supports skin health in chronic conditions|Supports eye health|Promotes wound healing|Relieves burning sensation|Supports heart health,,low,internal,Needle-flower Jasmine
