name,scientific_name,family,region,benefits,side_effects,toxicity
Saireyaka,Barleria prionitis,Acanthaceae,,Supports skin health in chronic conditions|Reduces swelling|Soothes vata-related disorders|Supports dental health and eases toothache|Promotes hair health,,low
Saptala,Senegalia rugata,Fabaceae,,Promotes hair health|Relieves itching|Supports skin health in chronic conditions|Relieves constipation|Supports intestinal parasite management,,low
Saptaparna,Alstonia scholaris,Apocynaceae,,Helps reduce fever|Supports skin health in chronic conditions|Supports intestinal parasite management|Promotes wound healing|Supports abdominal health|Antimicrobial and antiparasitic action,,low
Sariva,Hemidesmus indicus,Apocynaceae,,Relieves burning sensation|Cools and soothes heat-related bleeding|Quenches excessive thirst|Supports skin health in chronic conditions|Supports urinary health (including diabetes care)|Purifies the blood|Promotes healthy skin complexion,,low
Sarja,Vateria indica,Dipterocarpaceae,,Promotes wound healing|Supports skin health in chronic conditions|Relieves itching|Traditionally used for mental-emotional balance|Traditionally used in Ayurvedic management of toxins|Supports detoxification from poisons,,low
Sarpagandha,Rauvolfia serpentina,Apocynaceae,,Supports mental calm|Promotes sleep|Supports nervous system health|Relieves dizziness|Supports healthy blood pressure,,low
Sarpaksi,Ophiorrhiza mungos,Rubiaceae,,Traditionally used in Ayurvedic management of venom exposure|Helps reduce fever|Supports intestinal parasite management|Supports skin health in chronic conditions|Supports detoxification from poisons,,low
Satina,Pisum sativum,Fabaceae,,Purifies the blood|Relieves burning sensation|Builds strength and stamina,,low
Satyanashi,Argemone mexicana,Papaveraceae,,Supports skin health in chronic conditions|Relieves itching|Promotes wound healing|Relieves constipation|Purifies the blood|Purgative (professional use only),,low
Shaka,Tectona grandis,Lamiaceae,,Cools and soothes heat-related bleeding|Supports urinary health (including diabetes care)|Supports skin health in chronic conditions|Supports healthy weight management|Relieves burning sensation|Improves nutrient absorption and helps manage diarrhea,,low
Shallaki,Boswellia serrata,Burseraceae,,Supports joint health|Supports joints in inflammatory conditions|Promotes wound healing|Helps manage diarrhea|Cools and soothes heat-related bleeding|Reduces swelling|Improves nutrient absorption and helps manage diarrhea|Relieves pain,,low
Shalparni,Desmodium gangeticum,Fabaceae,,Helps reduce fever|Eases breathing and respiratory discomfort|Helps manage diarrhea|Supports recovery in debility|Helps manage vomiting|Supports healthy elimination of gas,,low
Shana,Crotalaria juncea,Fabaceae,,Cools and soothes heat-related bleeding|Supports menstrual health (heavy bleeding)|Supports uterine health|Relieves body ache|Helps control bleeding,,low
Shankhini,Canscora decussata,Gentianaceae,,Stimulates weak digestion|Relieves constipation|Supports mental calm|Supports nervous system health|Supports mental calm and wellbeing|Supports memory and intellect|Purgative (professional use only),,low
Shankhpushpi,Convolvulus pluricaulis,Convolvulaceae,,Supports mental calm|Supports nervous system health|Supports memory|Promotes sleep|Relieves dizziness|Supports memory and intellect|Rejuvenating; promotes vitality and immunity,,low
Shara,Saccharum munja,Poaceae,,Quenches excessive thirst|Relieves burning sensation|Cools and soothes heat-related bleeding|Promotes healthy urine flow|Cools the blood,,low
Sharapunkha,Tephrosia purpurea,Fabaceae,,Supports spleen health|Supports liver and spleen health|Supports abdominal health|Promotes wound healing|Supports skin health in chronic conditions|Stimulates liver function|Purifies the blood,,low
Shati,Hedychium spicatum,Zingiberaceae,,Eases breathing and respiratory discomfort|Eases cough|Helps reduce fever|Promotes wound healing|Improves taste and appetite|Eases breathing|Aids digestion of food and toxins,,low
Shigru,Moringa oleifera,Moringaceae,,Reduces swelling|Supports intestinal parasite management|Supports healthy weight management|Supports resolution of abscesses|Supports spleen health|Antimicrobial and antiparasitic action|Reduces excess fat,,low
Shigru Patra,Moringa oleifera,Moringaceae,,Supports intestinal parasite management|Reduces swelling|Supports healthy weight management|Supports eye health|Eases shoulder pain and stiffness|Builds strength and stamina|Aids digestion of food and toxins,,low
Shilajit,Asphaltum punjabianum,N/A,,Supports urinary health (including diabetes care)|Supports recovery in debility|Supports male reproductive health|Supports healthy weight management|Builds strength and stamina,,low
Shirisha,Albizia lebbeck,Fabaceae,,Traditionally used in Ayurvedic management of toxins|Eases breathing and respiratory discomfort|Eases cough|Supports skin health in chronic conditions|Supports skin health in spreading rashes|Supports detoxification from poisons|Eases breathing,,low
Shrigataka,Trapa natans,Lythraceae,,Cools and soothes heat-related bleeding|Supports menstrual health (heavy bleeding)|Supports a healthy pregnancy|Relieves burning sensation|Builds strength|Supports reproductive vitality|Improves nutrient absorption and helps manage diarrhea|Cools the blood,,low
Shunthi,Zingiber officinale,Zingiberaceae,,Supports joints in inflammatory conditions|Aids digestion|Supports healthy digestion and nutrient absorption|Eases cough|Eases breathing and respiratory discomfort|Stimulates digestion and appetite|Aids digestion of food and toxins|Rejuvenating; promotes vitality and immunity|Supports heart health,,low
Shvet Musli,Chlorophytum borivilianum,Asparagaceae,,Supports male reproductive health|Builds strength|Restores vitality and immunity|Supports reproductive vitality|Builds strength and stamina|Nourishing and weight-building,,low
Shyonaka,Oroxylum indicum,Bignoniaceae,,Helps manage diarrhea|Helps manage dysentery|Supports joints in inflammatory conditions|Reduces swelling|Stimulates weak digestion|Improves nutrient absorption and helps manage diarrhea|Stimulates digestion and appetite,,low
Simsapa,Dalbergia sissoo,Fabaceae,,Supports skin health in chronic conditions|Supports menstrual health (heavy bleeding)|Supports healthy weight management|Supports intestinal parasite management|Helps reduce fever|Reduces excess fat,,low
Snuhi,Euphorbia neriifolia,Euphorbiaceae,,Supports abdominal health|Supports skin health in chronic conditions|Helps manage hemorrhoids|Supports spleen health|Purgative (professional use only),,low
Somavalli,Sarcostemma acidum,Apocynaceae,,Supports recovery in debility|Quenches excessive thirst|Cools and soothes heat-related bleeding|Builds strength|Rejuvenating; promotes vitality and immunity|Builds strength and stamina,,low
Sthuneyaka,Taxus baccata,Taxaceae,,Eases cough|Eases breathing and respiratory discomfort|Relieves hiccups|Soothes vata-related disorders|Supports intestinal parasite management|Relieves cough|Eases breathing,,low
Surana,Amorphophallus paeoniifolius,Araceae,,Helps manage hemorrhoids|Supports spleen health|Supports abdominal health|Eases breathing and respiratory discomfort|Eases cough|Relieves hemorrhoids|Stimulates digestion and appetite,,low
Suranjana,Colchicum luteum,Colchicaceae,,Supports joints in gout-like conditions|Supports joints in inflammatory conditions|Eases joint pain|Supports liver and spleen health|Reduces swelling|Soothes excess vata|Relieves pain,,low
Suryavarta,Cleome gynandra,Cleomaceae,,Eases earache|Relieves headache|Supports abdominal health|Supports intestinal parasite management|Promotes wound healing|Relieves pain|Stimulates digestion and appetite,,low
Swarnapatri,Cassia angustifolia,Fabaceae,,Relieves constipation|Supports abdominal health|Supports intestinal parasite management|Purgative (professional use only),,low
Tagar,Valeriana wallichii,Caprifoliaceae,,Supports mental calm|Supports nervous system health|Promotes sleep|Supports memory and intellect|Rejuvenating; promotes vitality and immunity,,low
Tagetes,Tagetes erecta,Asteraceae,,Cools and soothes heat-related bleeding|Promotes wound healing|Relieves itching|Supports intestinal parasite management|Eases earache|Purifies the blood|Supports skin health in chronic conditions,,low
Tala,Borassus flabellifer,Arecaceae,,Supports recovery in debility|Cools and soothes heat-related bleeding|Quenches excessive thirst|Relieves burning sensation|Builds strength|Builds strength and stamina|Nourishing and weight-building,,low
Talamuli,Curculigo orchioides,Hypoxidaceae,,Supports male reproductive health|Supports urinary health (including diabetes care)|Builds strength|Supports recovery in debility|Supports vaginal health|Supports reproductive vitality|Builds strength and stamina|Rejuvenating; promotes vitality and immunity,,low
Talisapatra,Abies webbiana,Pinaceae,,Eases cough|Eases breathing and respiratory discomfort|Improves taste and appetite|Supports abdominal health|Helps manage vomiting|Relieves cough|Eases breathing,,low
Tamalaki,Phyllanthus niruri,Euphorbiaceae,,Supports liver health|Supports healthy blood levels|Supports liver and spleen health|Supports urinary health (including diabetes care)|Cools and soothes heat-related bleeding|Stimulates liver function|Aids digestion of food and toxins,,low
Tamalpatra,Cinnamomum tamala,Lauraceae,,Improves taste and appetite|Relieves nausea|Relieves nasal congestion and cold|Helps manage hemorrhoids|Stimulates digestion and appetite|Antimicrobial and antiparasitic action,,low
Tanduliyaka,Amaranthus spinosus,Amaranthaceae,,Cools and soothes heat-related bleeding|Traditionally used in Ayurvedic management of toxins|Supports menstrual health (heavy bleeding)|Relieves burning sensation|Quenches excessive thirst|Supports detoxification from poisons|Cools the blood,,low
Taruni,Rosa centifolia,Rosaceae,,Relieves burning sensation|Supports heart health|Quenches excessive thirst|Supports oral and throat health|Supports skin health in chronic conditions|Promotes healthy skin complexion|Supports eye health,,low
Tila,Sesamum indicum,Pedaliaceae,,Soothes vata-related disorders|Supports recovery in debility|Builds strength|Supports hair growth|Promotes wound healing|Builds strength and stamina|Promotes hair health|Supports reproductive vitality,,low
Tinduka,Diospyros peregrina,Ebenaceae,,Helps manage diarrhea|Helps manage dysentery|Supports urinary health (including diabetes care)|Promotes wound healing|Cools and soothes heat-related bleeding|Improves nutrient absorption and helps manage diarrhea|Helps control bleeding,,low
Tintidika,Tamarindus indica,Fabaceae,,Stimulates weak digestion|Improves taste and appetite|Quenches excessive thirst|Relieves fatigue|Stimulates digestion and appetite|Aids digestion of food and toxins,,low
Trapusha,Cucumis sativus,Cucurbitaceae,,Relieves burning sensation|Quenches excessive thirst|Cools and soothes heat-related bleeding|Promotes healthy urine flow,,low
Trivrit,Operculina turpethum,Convolvulaceae,,Relieves constipation|Helps reduce fever|Reduces swelling|Supports healthy blood levels|Supports abdominal health|Purgative (professional use only),,low
Tumburu,Zanthoxylum armatum,Rutaceae,,Supports dental health and eases toothache|Supports oral and throat health|Stimulates weak digestion|Supports intestinal parasite management|Eases abdominal pain|Stimulates digestion and appetite|Antimicrobial and antiparasitic action|Relieves pain,,low
Udumbara,Ficus racemosa,Moraceae,,Cools and soothes heat-related bleeding|Supports urinary health (including diabetes care)|Promotes wound healing|Helps manage diarrhea|Relieves burning sensation|Helps control bleeding|Supports healthy blood sugar,,low
Upodika,Basella alba,Basellaceae,,Relieves constipation|Helps manage hemorrhoids|Cools and soothes heat-related bleeding|Supports labor|Builds strength|Builds strength and stamina|Nourishing and weight-building,,low
Ushira,Chrysopogon zizanioides,Poaceae,,Relieves burning sensation|Quenches excessive thirst|Helps reduce fever|Traditionally used in Ayurvedic management of toxins,,low
Utingana,Blepharis edulis,Acanthaceae,,Supports male reproductive health|Supports reproductive vitality|Builds strength|Builds strength and stamina,,low
Utpala,Nymphaea nouchali,Nymphaeaceae,,Cools and soothes heat-related bleeding|Relieves burning sensation|Quenches excessive thirst|Supports heart health|Relieves dizziness|Rejuvenating; promotes vitality and immunity,,low
Vacha,Acorus calamus,Acoraceae,,Supports mental calm|Supports nervous system health|Supports memory|Eases cough|Soothes vata-related disorders|Supports memory and intellect|Restores alertness and focus|Antimicrobial and antiparasitic action,Contains beta-asarone; large doses not advised,medium
Vamsha,Bambusa bambos,Poaceae,,Eases cough|Eases breathing and respiratory discomfort|Cools and soothes heat-related bleeding|Quenches excessive thirst|Supports recovery in debility|Builds strength and stamina|Supports reproductive vitality|Relieves cough,,low
Vanapsa,Viola odorata,Violaceae,,Eases cough|Eases breathing and respiratory discomfort|Relieves nasal congestion and cold|Helps reduce fever|Relieves headache|Relieves cough,,low
Varahikanda,Dioscorea bulbifera,Dioscoreaceae,,Builds strength|Supports male reproductive health|Supports skin health in chronic conditions|Supports urinary health (including diabetes care)|Promotes wound healing|Rejuvenating; promotes vitality and immunity|Supports reproductive vitality|Builds strength and stamina,,low
Varshabhu,Trianthema portulacastrum,Aizoaceae,,Reduces swelling|Supports abdominal health|Supports liver health|Supports spleen health|Promotes healthy urine flow,,low
Vartaku,Solanum melongena,Solanaceae,,Stimulates weak digestion|Improves taste and appetite|Supports heart health|Soothes vata-related disorders|Stimulates digestion and appetite,,low
Varuna,Crateva nurvala,Capparaceae,,Supports resolution of abscesses|Soothes vata-related disorders|Supports abdominal health|Promotes healthy urine flow|Helps dissolve urinary stones|Stimulates digestion and appetite,,low
Vasaka,Adhatoda vasica,Acanthaceae,,Eases cough|Eases breathing and respiratory discomfort|Cools and soothes heat-related bleeding|Supports recovery in debility|Helps reduce fever|Eases breathing|Relieves cough,,low
Vathada,Prunus dulcis,Rosaceae,,Builds strength|Soothes vata-related disorders|Restores vitality and immunity|Supports recovery in debility|Builds strength and stamina|Supports memory and intellect|Supports reproductive vitality,,low
Vatsanabha,Aconitum ferox,Ranunculaceae,,Helps reduce fever|Supports joints in inflammatory conditions|Supports healthy digestion and nutrient absorption|Eases breathing and respiratory discomfort|Soothes vata-related disorders|Relieves pain,Extremely toxic; only used in processed form under strict professional supervision,high
Vetasa,Salix caprea,Salicaceae,,Reduces swelling|Relieves burning sensation|Cools and soothes heat-related bleeding|Promotes wound healing,,low
Vidanga,Embelia ribes,Primulaceae,,Supports intestinal parasite management|Supports abdominal health|Stimulates weak digestion|Supports skin health in chronic conditions|Supports urinary health (including diabetes care)|Antimicrobial and antiparasitic action|Helps reduce excess fat|Stimulates digestion and appetite,,low
Vidarikand,Pueraria tuberosa,Fabaceae,,Supports recovery in debility|Cools and soothes heat-related bleeding|Builds strength|Supports male reproductive health|Builds strength and stamina|Rejuvenating; promotes vitality and immunity|Supports reproductive vitality,,low
Visha Tinduka,Strychnos nux-vomica,Loganiaceae,,Soothes vata-related disorders|Eases sciatic pain|Supports joints in inflammatory conditions|Stimulates weak digestion|Supports male reproductive health|Soothes excess vata|Stimulates digestion and appetite,,low
Vriddhadaru,Argyreia nervosa,Convolvulaceae,,Soothes vata-related disorders|Reduces swelling|Supports urinary health (including diabetes care)|Rejuvenating; promotes vitality and immunity|Supports reproductive vitality|Supports memory and intellect,,low
Vriddhi,Habenaria edgeworthii,Orchidaceae,,Supports recovery in debility|Cools and soothes heat-related bleeding|Quenches excessive thirst|Builds strength|Eases breathing and respiratory discomfort|Rejuvenating; promotes vitality and immunity|Nourishing and weight-building,,low
Vrihi,Oryza sativa,Poaceae,,Builds strength|Quenches excessive thirst|Cools and soothes heat-related bleeding|Nourishing and weight-building|Builds strength and stamina|Promotes healthy urine flow,,low
Vrikshamla,Garcinia indica,Clusiaceae,,Aids digestion|Helps manage diarrhea|Supports healthy digestion and nutrient absorption|Quenches excessive thirst|Helps manage hemorrhoids|Helps reduce excess fat|Stimulates digestion and appetite|Reduces excess fat,,low
Vyaghranakhi,Capparis zeylanica,Capparaceae,,Reduces swelling|Supports thyroid health (traditional goiter care)|Helps manage hemorrhoids|Promotes wound healing|Stimulates weak digestion|Soothes excess vata,,low
Yastimadhu,Glycyrrhiza glabra,Fabaceae,,Eases cough|Supports recovery in debility|Supports voice and vocal clarity|Promotes wound healing|Cools and soothes heat-related bleeding|Supports throat and voice|Supports detoxification from poisons,,low
Yava,Hordeum vulgare,Poaceae,,Supports urinary health (including diabetes care)|Supports healthy weight management|Soothes the throat|Eases breathing and respiratory discomfort|Relieves nasal congestion and cold|Helps reduce excess fat|Promotes healthy urine flow,,low
Yavani,Trachyspermum ammi,Apiaceae,,Aids digestion|Relieves flatulence and bloating|Relieves pain|Supports abdominal health|Supports intestinal parasite management|Stimulates digestion and appetite|Aids digestion of food and toxins|Supports healthy elimination of gas,,low
Yavasa,Alhagi maurorum,Fabaceae,,Cools and soothes heat-related bleeding|Quenches excessive thirst|Relieves burning sensation|Eases cough|Eases breathing and respiratory discomfort|Helps control bleeding,,low
Yuthika,Jasminum auriculatum,Oleaceae,,Supports oral health (mouth ulcers)|Supports skin health in chronic conditions|Supports eye health|Promotes wound healing|Relieves burning sensation|Supports heart health,,low
